group,dataset,relative_path,object_name,rows,columns,country_name_column,country_code_column,year_column,missing_cells,column_names_json,dtypes_json
cross_section,geo_cepii,cross-section/data/geo_cepii.dta,geo_cepii,238,34,,iso3,,5,"[""iso2"", ""iso3"", ""cnum"", ""country"", ""pays"", ""area"", ""dis_int"", ""landlocked"", ""continent"", ""city_en"", ""city_fr"", ""lat"", ""lon"", ""cap"", ""maincity"", ""citynum"", ""langoff_1"", ""langoff_2"", ""langoff_3"", ""lang20_1"", ""lang20_2"", ""lang20_3"", ""lang20_4"", ""lang9_1"", ""lang9_2"", ""lang9_3"", ""lang9_4"", ""colonizer1"", ""colonizer2"", ""colonizer3"", ""colonizer4"", ""short_colonizer1"", ""short_colonizer2"", ""short_colonizer3""]","{""area"": ""int32"", ""cap"": ""int8"", ""city_en"": ""str"", ""city_fr"": ""str"", ""citynum"": ""float32"", ""cnum"": ""int16"", ""colonizer1"": ""str"", ""colonizer2"": ""str"", ""colonizer3"": ""str"", ""colonizer4"": ""str"", ""continent"": ""str"", ""country"": ""str"", ""dis_int"": ""float32"", ""iso2"": ""str"", ""iso3"": ""str"", ""landlocked"": ""float32"", ""lang20_1"": ""str"", ""lang20_2"": ""str"", ""lang20_3"": ""str"", ""lang20_4"": ""str"", ""lang9_1"": ""str"", ""lang9_2"": ""str"", ""lang9_3"": ""str"", ""lang9_4"": ""str"", ""langoff_1"": ""str"", ""langoff_2"": ""str"", ""langoff_3"": ""str"", ""lat"": ""float32"", ""lon"": ""float32"", ""maincity"": ""int8"", ""pays"": ""str"", ""short_colonizer1"": ""str"", ""short_colonizer2"": ""str"", ""short_colonizer3"": ""str""}"
cross_section,gov_exp_Data,cross-section/data/gov_exp_Data.rds,gov_exp_Data,265,3,Country Name,Country Code,,39,"[""Country Name"", ""Country Code"", ""General government final consumption expenditure (% of GDP)""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""General government final consumption expenditure (% of GDP)"": ""float64""}"
cross_section,gov_exp_edu_Data,cross-section/data/gov_exp_edu_Data.rds,gov_exp_edu_Data,265,3,Country Name,Country Code,,31,"[""Country Name"", ""Country Code"", ""Government expenditure on education, total (% of GDP)""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""Government expenditure on education, total (% of GDP)"": ""float64""}"
cross_section,gov_milit_exp_Data,cross-section/data/gov_milit_exp_Data.rds,gov_milit_exp_Data,265,3,Country Name,Country Code,,60,"[""Country Name"", ""Country Code"", ""Military expenditure (% of GDP)""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""Military expenditure (% of GDP)"": ""float64""}"
cross_section,inflation_cpi_Data,cross-section/data/inflation_cpi_Data.rds,inflation_cpi_Data,265,3,Country Name,Country Code,,25,"[""Country Name"", ""Country Code"", ""Inflation, consumer prices (annual %)""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""Inflation, consumer prices (annual %)"": ""float64""}"
cross_section,inflation_gdpdeflator_Data,cross-section/data/inflation_gdpdeflator_Data.rds,inflation_gdpdeflator_Data,265,3,Country Name,Country Code,,5,"[""Country Name"", ""Country Code"", ""Inflation, GDP deflator (annual %)""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""Inflation, GDP deflator (annual %)"": ""float64""}"
cross_section,investment_Data,cross-section/data/investment_Data.rds,investment_Data,265,3,Country Name,Country Code,,41,"[""Country Name"", ""Country Code"", ""Gross capital formation (% of GDP)""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""Gross capital formation (% of GDP)"": ""float64""}"
cross_section,life_exp_initial_Data,cross-section/data/life_exp_initial_Data.rds,life_exp_initial_Data,265,3,Country Name,Country Code,,7,"[""Country Name"", ""Country Code"", ""Life expectancy at birth in 2010 (years)""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""Life expectancy at birth in 2010 (years)"": ""float64""}"
cross_section,model_data,cross-section/data/model_data.rds,model_data,162,36,Country Name,Country Code,,194,"[""Country Name"", ""Country Code"", ""GDP_growth"", ""fertility"", ""GDPpc2015"", ""GDPpc"", ""gov_exp"", ""gov_exp_edu"", ""gov_exp_milit"", ""inf_cpi"", ""inf_def"", ""investment"", ""life_exp"", ""education"", ""tot"", ""trade"", ""cc_alt_cp"", ""cc_alt_cp_lv"", ""cc_basic"", ""cc_basic_lv"", ""cc_civil"", ""cc_civil_lv"", ""cc_polit"", ""cc_polit_lv"", ""cc_prop"", ""cc_prop_lv"", ""cc_total"", ""cc_total_lv"", ""dj_index"", ""landlocked"", ""v2x_libdem"", ""v2x_polyarchy"", ""v2x_delibdem"", ""v2x_partipdem"", ""v2x_egaldem"", ""gov_exp_reduced""]","{""Country Code"": ""str"", ""Country Name"": ""str"", ""GDP_growth"": ""float64"", ""GDPpc"": ""float64"", ""GDPpc2015"": ""float64"", ""cc_alt_cp"": ""float64"", ""cc_alt_cp_lv"": ""float64"", ""cc_basic"": ""float64"", ""cc_basic_lv"": ""float64"", ""cc_civil"": ""float64"", ""cc_civil_lv"": ""float64"", ""cc_polit"": ""float64"", ""cc_polit_lv"": ""float64"", ""cc_prop"": ""float64"", ""cc_prop_lv"": ""float64"", ""cc_total"": ""float64"", ""cc_total_lv"": ""float64"", ""dj_index"": ""float64"", ""education"": ""float64"", ""fertility"": ""float64"", ""gov_exp"": ""float64"", ""gov_exp_edu"": ""float64"", ""gov_exp_milit"": ""float64"", ""gov_exp_reduced"": ""float64"", ""inf_cpi"": ""float64"", ""inf_def"": ""float64"", ""investment"": ""float64"", ""landlocked"": ""int64"", ""life_exp"": ""float64"", ""tot"": ""float64"", ""trade"": ""float64"", ""v2x_delibdem"": ""float64"", ""v2x_egaldem"": ""float64"", ""v2x_libdem"": ""float64"", ""v2x_partipdem"": ""float64"", ""v2x_polyarchy"": ""float64""}"
cross_section,model_data2,cross-section/data/model_data2.rds,model_data2,158,44,Country Name,Country_Code,,223,"[""Country Name"", ""Country_Code"", ""GDP_growth"", ""fertility"", ""GDPpc2015"", ""GDPpc"", ""gov_exp"", ""gov_exp_edu"", ""gov_exp_milit"", ""inf_cpi"", ""inf_def"", ""investment"", ""life_exp"", ""education"", ""tot"", ""trade"", ""cc_alt_cp"", ""cc_alt_cp_lv"", ""cc_basic"", ""cc_basic_lv"", ""cc_civil"", ""cc_civil_lv"", ""cc_polit"", ""cc_polit_lv"", ""cc_prop"", ""cc_prop_lv"", ""cc_total"", ""cc_total_lv"", ""dj_index"", ""landlocked"", ""v2x_libdem"", ""v2x_polyarchy"", ""v2x_delibdem"", ""v2x_partipdem"", ""v2x_egaldem"", ""gov_exp_reduced"", ""cc_total_growth_yty"", ""cc_basic_growth_yty"", ""cc_polit_growth_yty"", ""cc_prop_growth_yty"", ""cc_total_growth"", ""cc_basic_growth"", ""cc_polit_growth"", ""cc_prop_growth""]","{""Country Name"": ""str"", ""Country_Code"": ""str"", ""GDP_growth"": ""float64"", ""GDPpc"": ""float64"", ""GDPpc2015"": ""float64"", ""cc_alt_cp"": ""float64"", ""cc_alt_cp_lv"": ""float64"", ""cc_basic"": ""float64"", ""cc_basic_growth"": ""float64"", ""cc_basic_growth_yty"": ""float64"", ""cc_basic_lv"": ""float64"", ""cc_civil"": ""float64"", ""cc_civil_lv"": ""float64"", ""cc_polit"": ""float64"", ""cc_polit_growth"": ""float64"", ""cc_polit_growth_yty"": ""float64"", ""cc_polit_lv"": ""float64"", ""cc_prop"": ""float64"", ""cc_prop_growth"": ""float64"", ""cc_prop_growth_yty"": ""float64"", ""cc_prop_lv"": ""float64"", ""cc_total"": ""float64"", ""cc_total_growth"": ""float64"", ""cc_total_growth_yty"": ""float64"", ""cc_total_lv"": ""float64"", ""dj_index"": ""float64"", ""education"": ""float64"", ""fertility"": ""float64"", ""gov_exp"": ""float64"", ""gov_exp_edu"": ""float64"", ""gov_exp_milit"": ""float64"", ""gov_exp_reduced"": ""float64"", ""inf_cpi"": ""float64"", ""inf_def"": ""float64"", ""investment"": ""float64"", ""landlocked"": ""int64"", ""life_exp"": ""float64"", ""tot"": ""float64"", ""trade"": ""float64"", ""v2x_delibdem"": ""float64"", ""v2x_egaldem"": ""float64"", ""v2x_libdem"": ""float64"", ""v2x_partipdem"": ""float64"", ""v2x_polyarchy"": ""float64""}"
