Variable,N,Min,Median,Mean,SD,Max
Year,4786,1990.0,2005.0,2005.3115336397827,8.75490611337072,2020.0
cc_basic,4786,-1.9892261028289795,0.5034350156784058,0.2588435613985745,1.117169817174576,1.5875505208969116
cc_civil,4786,-1.671095371246338,0.8990510106086731,0.30413665682193386,1.0294214623585165,1.3993076086044312
cc_polit,4668,-1.4068305492401123,0.44659537076950073,0.36993142617219976,1.0407388941118778,1.8115158081054688
cc_prop,4771,-1.4103937149047852,-0.051304228603839874,0.18614092458362,1.1331304979501564,2.0130951404571533
cc_total,4786,-1.8621424436569214,0.44955191016197205,0.3207810520594311,1.0849420820809186,1.972333550453186
cc_total_lv,4738,-1.2696080207824707,0.5169996619224548,0.32286604273055536,0.9350751311925398,1.4103035926818848
education,3198,0.0,28.00359916687015,34.0239913493064,27.11890298861153,143.96272277832
fertility,4786,0.837,2.6035000000000004,3.1394740910990393,1.6693010604643983,8.459
GDPgrowth,4702,-51.0308649467486,3.74785481862871,3.457485836353441,6.405529006888876,149.972963487965
gov_exp_reduced,2638,-30.754890607174506,9.63258860405069,9.725332734722791,4.652672187991267,39.7037260747387
inflation,4700,-31.5659149794624,4.779162995374455,31.31607123908376,316.984115694197,15444.4204230537
investment,4212,-3.94592435677103,22.712038815657998,23.64919966083557,8.330393489649401,76.7823246780685
tot_growth,3910,-62.287415399957084,0.010679937159998872,0.9180993659547845,11.553763210878735,349.43904787491624
trade,4266,9.95514507626151,70.2082542533385,81.22560245915527,48.90892264548925,437.326714891057
GDPpc2015,4682,188.658266938085,3953.10118546585,11608.531829966074,17055.86371205906,112417.878458001
ever_colonized,4786,0.0,1.0,0.8313832010029252,0.37445222778099274,1.0
log_cc_total,4786,-1.9815343273231176,0.8959051140180829,0.6851151433859094,0.628575495658892,1.3793537180985724
log_cc_total_lv,4738,-0.31417393111774,0.9230675818355119,0.7355969643983249,0.49945392978776704,1.2268013174444699
log_cc_basic,4786,-4.530628998947872,0.9176637950626695,0.5226643884504697,1.1085944508535521,1.2774696634665577
log_cc_civil,4786,-1.1119874524484479,1.0643834457173345,0.660429081685708,0.6933098665707668,1.2235717663556447
log_cc_polit,4668,-0.5222751691006389,0.8946974135212705,0.7319863034765043,0.5580163116037068,1.3380269599137729
log_cc_prop,4771,-0.5283002782330012,0.6671603136241667,0.6290201237852714,0.5752227943823132,1.3895627990668313
lag_GDPpc2015,4358,188.658266938085,3894.1881463166446,11469.824410142071,16887.03903592931,112417.878458001
lag_log_GDPpc2015,4358,5.239937267014375,8.267240486366523,8.36529665495871,1.459514448198873,11.629978264807109
tot_growth_x_trade,3524,-5717.823839119883,0.0,65.2946223839411,834.7597756837736,21529.939296716966
