compliance_variant,term,coefficient,se_classical,se_driscoll_kraay,p_value,nobs
cc_basic,const,62.47342098824899,3.720534436955108,2.3053795392710037,0.0,2243
cc_basic,log_cc_basic,0.5105156138892294,0.15411397186140624,0.1317983543087115,0.0009400864609541149,2243
cc_basic,fertility,-0.9198368339579052,0.2693019313596748,0.23897771574886637,0.0006484598598155422,2243
cc_basic,lag_log_GDPpc2015,-7.347784279468897,0.39011761655583,0.1513394290800933,0.0,2243
cc_basic,gov_exp_reduced,-0.2752474393211724,0.03960577943511473,0.057907540837580145,4.8694381860059366e-12,2243
cc_basic,inflation,-0.02554291982125021,0.0084818596366957,0.017012464465826032,0.0026308606873159945,2243
cc_basic,investment,0.1798789383407348,0.01593477462559776,0.019753269929706385,0.0,2243
cc_basic,tot_growth,-0.000705830021726349,0.024054822559955925,0.031070737979115932,0.9765941774337306,2243
cc_basic,trade,0.05353541568783784,0.005085563657710025,0.0012893761940835707,0.0,2243
cc_basic,tot_growth_x_trade,0.0006503428971802615,0.00031885115834524527,0.0005401173683113201,0.041510880656579374,2243
cc_civil,const,60.37148683289186,3.722851964370611,2.5041950591512974,0.0,2243
cc_civil,log_cc_civil,1.9299821126037826,0.32637439066761764,0.19038810186128877,3.902675738132189e-09,2243
cc_civil,fertility,-1.0801195865261004,0.2645540212907842,0.2682803029457147,4.616688421110737e-05,2243
cc_civil,lag_log_GDPpc2015,-7.195666267342455,0.38915973556112554,0.15236588117488328,0.0,2243
cc_civil,gov_exp_reduced,-0.25772260696347415,0.0395215083994319,0.056416782675886755,8.721534605626857e-11,2243
cc_civil,inflation,-0.02480510885560082,0.00841042695516487,0.017767756576022604,0.003219900829194433,2243
cc_civil,investment,0.1817719498647351,0.015846846297107572,0.01881204074571083,0.0,2243
cc_civil,tot_growth,0.005904458753096418,0.02391556734772864,0.02808400122162991,0.8050193237163379,2243
cc_civil,trade,0.05183272154601208,0.005063871314972645,0.0015077800649781713,0.0,2243
cc_civil,tot_growth_x_trade,0.0005636131164184413,0.00031717825545801124,0.0004995695173113188,0.07571972639925728,2243
cc_polit,const,63.45230809255332,3.7089700643286094,2.348178730780826,0.0,2220
cc_polit,log_cc_polit,0.3776085157263985,0.3446152249346925,0.3585406267210952,0.27331982613195516,2220
cc_polit,fertility,-1.0603142852360306,0.268301236665967,0.2568199549534974,8.010657745405325e-05,2220
cc_polit,lag_log_GDPpc2015,-7.437521342543572,0.390696706302181,0.16465389481288226,0.0,2220
cc_polit,gov_exp_reduced,-0.2693578169451307,0.03986305802373453,0.058218264231048325,1.822586526145642e-11,2220
cc_polit,inflation,-0.027504210093296823,0.008485332337084268,0.018871223129062913,0.0012083348547735628,2220
cc_polit,investment,0.18147110715360976,0.016000117087920238,0.0213220842609454,0.0,2220
cc_polit,tot_growth,-0.0019794923802624936,0.02412024665755512,0.031080877243681047,0.934600811598812,2220
cc_polit,trade,0.053539551778164864,0.0051077243589432155,0.0014598074565112037,0.0,2220
cc_polit,tot_growth_x_trade,0.0007300983152712049,0.00032300466556460365,0.0006111869027131941,0.023903692564391843,2220
cc_prop,const,63.117690026518005,3.7203859041575815,2.349398940879584,0.0,2243
cc_prop,log_cc_prop,0.8789827893018812,0.4230643857891081,0.30147327317666767,0.03786235705462082,2243
cc_prop,fertility,-0.9737074189352879,0.269556547462255,0.2497617296388989,0.0003106819846259157,2243
cc_prop,lag_log_GDPpc2015,-7.446506741285313,0.3901605250973762,0.1644844291978171,0.0,2243
cc_prop,gov_exp_reduced,-0.2697176777325178,0.03985404483416413,0.059899912764464505,1.6929790902509012e-11,2243
cc_prop,inflation,-0.026663063147873756,0.008494211398677322,0.0178011871584587,0.0017190266833815304,2243
cc_prop,investment,0.17927956449110632,0.01596569579228428,0.020074446363820584,0.0,2243
cc_prop,tot_growth,0.0026955794561265077,0.024082691536409625,0.02958606809018053,0.9108894971006429,2243
cc_prop,trade,0.053691553540585225,0.005095162963859887,0.0013035262022362702,0.0,2243
cc_prop,tot_growth_x_trade,0.0006204715392236021,0.00031931535742747474,0.0005237706838942645,0.05213400417141134,2243
