model,dataset,model_kind,term,coefficient,std_error,t_stat,p_value,stars,nobs,r_squared
small_full_random,small,random,const,4.875970872186035,4.174184493137136,1.168125385977242,0.2431692182930294,,685,0.16430274450091342
small_full_random,small,random,log_cc_total,0.7978357379519243,0.345338520292687,2.3103004474442335,0.021172647990965743,**,685,0.16430274450091342
small_full_random,small,random,life_exp,0.025266761064231178,0.060643715296232,0.41664269645763424,0.6770724260947709,,685,0.16430274450091342
small_full_random,small,random,education,-0.0023923365962598784,0.01180397759016956,-0.20267207201852316,0.8394525171483409,,685,0.16430274450091342
small_full_random,small,random,fertility,0.055791500206922785,0.2863145002565387,0.1948608965209007,0.8455605695139832,,685,0.16430274450091342
small_full_random,small,random,lag_log_GDPpc2015,-0.7710971706443807,0.31623787724636787,-2.438345391635837,0.015011893806008647,**,685,0.16430274450091342
small_full_random,small,random,gov_exp_reduced,-0.19755999606676278,0.052060074364889596,-3.7948465974532177,0.00016103130807620936,***,685,0.16430274450091342
small_full_random,small,random,inflation,-0.019994053734223395,0.012594586888075477,-1.5875116756035654,0.11286578920577317,,685,0.16430274450091342
small_full_random,small,random,investment,0.13559272184320734,0.021688241792803598,6.251900137345321,7.195612994337353e-10,***,685,0.16430274450091342
small_full_random,small,random,tot_growth,0.0008391143009781501,0.017485513987609926,0.04798911267765642,0.961739135553004,,685,0.16430274450091342
small_full_random,small,random,trade,0.01550411448257862,0.004428904654492701,3.500665670653166,0.000494685393940486,***,685,0.16430274450091342
