model,dataset,model_kind,term,coefficient,std_error,t_stat,p_value,stars,nobs,r_squared
small_reduced_random,small,random,inflation,-0.03414857137469139,0.01137872607517758,-3.001089150848414,0.0027644762048419924,***,909,0.1536932055763044
small_reduced_random,small,random,investment,0.12103096709881189,0.01818679241710786,6.654882528101058,4.923905727594047e-11,***,909,0.1536932055763044
small_reduced_random,small,random,tot_growth,-0.03227490174253864,0.0342551711534248,-0.9421906432165593,0.34634815685451303,,909,0.1536932055763044
small_reduced_random,small,random,trade,0.01289666226724626,0.0033227244218358536,3.8813517553528154,0.00011147024724267318,***,909,0.1536932055763044
small_reduced_random,small,random,tot_growth_x_trade,0.00047875543412072665,0.000449040653347035,1.0661739211187344,0.2866312716483874,,909,0.1536932055763044
main_reduced_pooling,main,pooling,const,6.885335956244432,1.044209945374554,6.593823384601733,5.3330895255498945e-11,***,2243,0.2006050827139083
main_reduced_pooling,main,pooling,log_cc_total,0.23631883322653996,0.17490361512941657,1.3511374996547691,0.17678826784250923,,2243,0.2006050827139083
main_reduced_pooling,main,pooling,fertility,-0.02156737227946193,0.08540096497991417,-0.25254248923925454,0.8006450199737931,,2243,0.2006050827139083
main_reduced_pooling,main,pooling,lag_log_GDPpc2015,-0.731706234239478,0.09403564293253953,-7.781158414202565,1.0880185641326534e-14,***,2243,0.2006050827139083
main_reduced_pooling,main,pooling,gov_exp_reduced,-0.18574638362352727,0.019947965086392554,-9.311545454339782,0.0,***,2243,0.2006050827139083
main_reduced_pooling,main,pooling,inflation,-0.0049427051918957765,0.00822223559647634,-0.6011388428244485,0.5478085292649928,,2243,0.2006050827139083
main_reduced_pooling,main,pooling,investment,0.14492649479742914,0.011672083353477834,12.416506154768557,0.0,***,2243,0.2006050827139083
main_reduced_pooling,main,pooling,tot_growth,-0.0018447098522368782,0.025791843142059383,-0.07152299438533205,0.9429879295267547,,2243,0.2006050827139083
main_reduced_pooling,main,pooling,trade,0.011534590090333002,0.0017039787470536111,6.769210068070231,1.6493473253831326e-11,***,2243,0.2006050827139083
main_reduced_pooling,main,pooling,tot_growth_x_trade,0.0007543299470254066,0.00033791447667226457,2.2323102414964415,0.025693279628355103,**,2243,0.2006050827139083
main_reduced_between,main,between,const,4.667015550288663,1.8468917321919085,2.5269567614284596,0.012733336819678698,**,137,0.5038593322865161
main_reduced_between,main,between,log_cc_total,-0.29264591272337037,0.2954412003088624,-0.9905385992794176,0.3237944065424161,,137,0.5038593322865161
main_reduced_between,main,between,fertility,0.06990239592883284,0.14090539148736628,0.4960945439415663,0.6206851888841523,,137,0.5038593322865161
main_reduced_between,main,between,lag_log_GDPpc2015,-0.3396249063033433,0.1582127505142433,-2.1466342326990144,0.03372332817531842,**,137,0.5038593322865161
