term,coefficient,se_classical,se_arellano,se_time_cluster,se_double_cluster,se_driscoll_kraay
const,61.51577373925469,3.733534618585472,7.562298771038372,10.144560275449813,12.067790360847022,2.395340869092095
log_cc_total,1.7406671070719986,0.4159953646519261,0.5361176106250731,0.4173434688965368,0.5106945778014582,0.2918578060605964
fertility,-0.9695775558473141,0.2664668361076042,0.45648574295368755,0.6727765001578271,0.7629841210997369,0.25019275360690707
lag_log_GDPpc2015,-7.358152638471052,0.3891427169523601,0.8178051477736761,1.3877397398465854,1.5499800870414875,0.16418250995387348
gov_exp_reduced,-0.2597398022184279,0.03977328026647246,0.09047144842497097,0.08291646543726366,0.10847526286355369,0.05774271868344488
inflation,-0.024891010631473427,0.00846577106123493,0.017464449769799776,0.01601590698879007,0.018349971982022668,0.0175266633740031
investment,0.18028338199319466,0.015909876003917373,0.028469133492429598,0.031221050104040332,0.03680515197007899,0.020313663164237016
tot_growth,0.0017856336794890536,0.02400459161623313,0.028917053134045245,0.0225316960149237,0.026698450992896347,0.029475603116991596
trade,0.053157223073142634,0.0050779707129067755,0.007056653890755501,0.01121118441827659,0.011967190058478601,0.0014032059143422712
tot_growth_x_trade,0.0006342640534328423,0.000318294833691756,0.0004382663692087055,0.0003637335058181549,0.00043337495633484165,0.0005280677608080449
