model,dataset,table_group,term,coefficient,robust_se_hc3,robust_t,p_value,stars,nobs,r_squared,adj_r_squared,aic,bic
re2_o,model_data4_o,ols_main,const,6.122004852884206,2.182866110376023,2.8045718533921544,0.005941219777368293,***,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re2_o,model_data4_o,ols_main,fertility,0.05206206064665654,0.21541176231871725,0.24168624817073342,0.8094652361962784,,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re2_o,model_data4_o,ols_main,log_GDPpc2015,-0.5372951189959431,0.16664571521218202,-3.22417602103859,0.0016556153796754723,***,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re2_o,model_data4_o,ols_main,inf_def,0.0009695429080659873,0.052950029744247014,0.018310526221589657,0.9854237097211129,,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re2_o,model_data4_o,ols_main,investment,0.09931249140668595,0.032555697605972045,3.0505410330530895,0.002851999338412126,***,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re2_o,model_data4_o,ols_main,terms_trade_x_trade,-0.0022981700155431193,0.005661472632262478,-0.4059314889993044,0.6855674328853394,,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re2_o,model_data4_o,ols_main,gov_exp_reduced,-0.1150683426982359,0.04632762597874692,-2.483795365448344,0.014479722965231069,**,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re2_o,model_data4_o,ols_main,log_cc_total_plus2,-0.13812863566199524,0.3183509363505837,-0.43388795159654,0.6652044487661608,,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re2_o,model_data4_o,ols_main,terms_trade,0.21428488926825695,0.45405901134880483,0.4719318060260781,0.6378936181926455,,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re2_o,model_data4_o,ols_main,trade,0.008339585907025071,0.005398915284616498,1.5446780450116766,0.12524509173033443,,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re4_o,model_data4_o,ols_main,const,6.597229485845697,1.4708260693757462,4.485390640815687,1.7459541297352217e-05,***,122,0.4691489715750339,0.4365528557945535,457.15015737803026,479.5823257358963
re4_o,model_data4_o,ols_main,log_GDPpc2015,-0.5737431048407972,0.11651242731583548,-4.9243082309625725,2.8858646644338815e-06,***,122,0.4691489715750339,0.4365528557945535,457.15015737803026,479.5823257358963
re4_o,model_data4_o,ols_main,investment,0.09873305991672868,0.03130883832560646,3.153520385838723,0.0020623702396863584,***,122,0.4691489715750339,0.4365528557945535,457.15015737803026,479.5823257358963
re4_o,model_data4_o,ols_main,terms_trade_x_trade,-0.002372717164810707,0.005563078147385992,-0.42651156463182377,0.670539446764544,,122,0.4691489715750339,0.4365528557945535,457.15015737803026,479.5823257358963
re4_o,model_data4_o,ols_main,gov_exp_reduced,-0.11434449326596455,0.04314269609304113,-2.6503789429239726,0.009182898319094407,***,122,0.4691489715750339,0.4365528557945535,457.15015737803026,479.5823257358963
re4_o,model_data4_o,ols_main,log_cc_total_plus2,-0.14403963613596588,0.30546468926980613,-0.4715426731655415,0.6381544721878664,,122,0.4691489715750339,0.4365528557945535,457.15015737803026,479.5823257358963
re4_o,model_data4_o,ols_main,terms_trade,0.22641490960527896,0.44072520401291526,0.5137326105784592,0.6084332575737569,,122,0.4691489715750339,0.4365528557945535,457.15015737803026,479.5823257358963
re4_o,model_data4_o,ols_main,trade,0.008200891327676698,0.005163223584420397,1.5883277556335569,0.11498195715981054,,122,0.4691489715750339,0.4365528557945535,457.15015737803026,479.5823257358963
