country_name,country_code,GDP_growth,residual,fitted,leverage,standardized_residual,cooks_distance,high_leverage_threshold,high_cooks_distance_threshold,high_leverage,large_standardized_residual,high_cooks_distance
Ireland,IRL,6.293372507984261,2.5177358829899967,3.775636624994264,0.28371677477593216,1.94884061128731,0.18804547579851544,0.13114754098360656,0.03278688524590164,True,False,True
Central African Republic,CAF,-0.192755188219738,-4.396268202525425,4.203513014305687,0.0943603465394242,-3.026321104183258,0.11928178325706111,0.13114754098360656,0.03278688524590164,False,True,True
Algeria,DZA,2.7800000000000002,-3.316539080100113,6.096539080100113,0.12974456134687878,-2.3290042870028214,0.1010864639247787,0.13114754098360656,0.03278688524590164,False,True,True
"Iran, Islamic Rep.",IRN,1.3399392072535496,-3.568443548735594,4.908382755989144,0.11144535556642854,-2.479963574666444,0.0964225138717666,0.13114754098360656,0.03278688524590164,False,True,True
Seychelles,SYC,6.08824837682805,2.826235240110352,3.2620131367176977,0.1268367787817973,1.981386191159915,0.07128498235512298,0.13114754098360656,0.03278688524590164,False,False,True
China,CHN,7.67799199091234,2.4448497772633795,5.233142213648961,0.15423851879380449,1.741553298214543,0.06913986019096927,0.13114754098360656,0.03278688524590164,True,False,True
Jordan,JOR,2.41100170717963,-1.6386359186273678,4.049637625806998,0.25063786679452094,-1.2400669712803982,0.0642917483024995,0.13114754098360656,0.03278688524590164,True,False,True
Ethiopia,ETH,9.77867780326708,3.4579784834347027,6.320699319832377,0.05928994766317168,2.335624036586323,0.04297750180356231,0.13114754098360656,0.03278688524590164,False,True,True
Qatar,QAT,5.68309297911202,2.448792536991914,3.234300442120106,0.1057713863370518,1.6964312096900176,0.042550253780208054,0.13114754098360656,0.03278688524590164,False,False,True
Zimbabwe,ZWE,6.218070843435379,2.921427037459602,3.296643805975777,0.07305470868967003,1.9878176151920628,0.0389275609436554,0.13114754098360656,0.03278688524590164,False,False,True
Burundi,BDI,2.21908074444506,-1.350260015297351,3.569340759742411,0.22632590810728587,-1.0056501487987766,0.03698112129687806,0.13114754098360656,0.03278688524590164,True,False,True
Ukraine,UKR,0.13719774721716801,-3.373367937613794,3.5105656848309623,0.049482775450891754,-2.266690680769071,0.03343401945358531,0.13114754098360656,0.03278688524590164,False,True,True
Chad,TCD,3.42602054695354,-2.8336194672750046,6.259640014228545,0.06444200601929295,-1.9191755951221277,0.031713032664259413,0.13114754098360656,0.03278688524590164,False,False,False
Mongolia,MNG,7.8363522306882,2.12608561405661,5.71026661663159,0.10319872680437459,1.4707578757199289,0.03111504987477653,0.13114754098360656,0.03278688524590164,False,False,False
Sierra Leone,SLE,5.20724084272072,1.3521351973674727,3.8551056453532477,0.19421953273016593,0.9867798942642165,0.029337747512297545,0.13114754098360656,0.03278688524590164,True,False,False
Rwanda,RWA,7.153119222845809,2.2724836429845103,4.880635579861298,0.08101908660434484,1.5529449544217993,0.026576818364969886,0.13114754098360656,0.03278688524590164,False,False,False
