model,dataset,table_group,term,coefficient,robust_se_hc3,robust_t,p_value,stars,nobs,r_squared,adj_r_squared,aic,bic
re1,model_data4,ols_full_sample,const,16.871570893805995,14.964351614065475,1.1274508464468225,0.26280070820906887,,96,0.5206686233905888,0.4513677014711559,373.4010162185898,406.73754270767165
re1,model_data4,ols_full_sample,fertility,-0.013507205193093619,0.2715899790637679,-0.049733812858839675,0.9604539989613694,,96,0.5206686233905888,0.4513677014711559,373.4010162185898,406.73754270767165
re1,model_data4,ols_full_sample,log_GDPpc2015,-0.007144663170450372,0.37057821655953316,-0.0192797710474776,0.9846641934790579,,96,0.5206686233905888,0.4513677014711559,373.4010162185898,406.73754270767165
re1,model_data4,ols_full_sample,inf_def,0.00011624476424111282,0.05115060277951785,0.0022725981303129534,0.9981921839244694,,96,0.5206686233905888,0.4513677014711559,373.4010162185898,406.73754270767165
re1,model_data4,ols_full_sample,investment,0.11262183037271388,0.033874980783584814,3.324631564877177,0.0013195570863317849,***,96,0.5206686233905888,0.4513677014711559,373.4010162185898,406.73754270767165
re1,model_data4,ols_full_sample,education,-0.008034236688242654,0.014433232484851797,-0.5566484636532307,0.5792654552516452,,96,0.5206686233905888,0.4513677014711559,373.4010162185898,406.73754270767165
re1,model_data4,ols_full_sample,terms_trade_x_trade,0.0002590297751594033,0.001815227224637445,0.14269826479224343,0.8868743309969529,,96,0.5206686233905888,0.4513677014711559,373.4010162185898,406.73754270767165
re1,model_data4,ols_full_sample,gov_exp_reduced,-0.1321109074428457,0.05055594947329602,-2.613162423398408,0.01064835701126704,**,96,0.5206686233905888,0.4513677014711559,373.4010162185898,406.73754270767165
re1,model_data4,ols_full_sample,life_exp,-0.0699319297754893,0.07194622398287558,-0.9720027807454397,0.33387336935853607,,96,0.5206686233905888,0.4513677014711559,373.4010162185898,406.73754270767165
re1,model_data4,ols_full_sample,log_cc_total_plus2,-0.6834511541283579,0.5856932690821897,-1.1669096952392157,0.24658853656407573,,96,0.5206686233905888,0.4513677014711559,373.4010162185898,406.73754270767165
re1,model_data4,ols_full_sample,v2x_libdem,0.05760606840897964,1.6783485304717485,0.03432306661166962,0.9727019409748479,,96,0.5206686233905888,0.4513677014711559,373.4010162185898,406.73754270767165
re1,model_data4,ols_full_sample,terms_trade,-0.09319565700814707,0.1354932992852551,-0.6878248407837609,0.49348084815768734,,96,0.5206686233905888,0.4513677014711559,373.4010162185898,406.73754270767165
re1,model_data4,ols_full_sample,trade,-0.01843720637105592,0.18002186511874207,-0.10241648345824422,0.9186731346001972,,96,0.5206686233905888,0.4513677014711559,373.4010162185898,406.73754270767165
re2,model_data4,ols_full_sample,const,8.56844921781318,5.932539440318272,1.4443139070565532,0.15132333106661158,,127,0.4460442731278963,0.4034322941377345,484.10592488576316,512.5477957503491
re2,model_data4,ols_full_sample,fertility,0.1677234140827492,0.20873722713967993,0.80351462161809,0.4233067830184194,,127,0.4460442731278963,0.4034322941377345,484.10592488576316,512.5477957503491
re2,model_data4,ols_full_sample,log_GDPpc2015,-0.38385938655930696,0.1789089417641357,-2.145557302917634,0.03397483707757513,**,127,0.4460442731278963,0.4034322941377345,484.10592488576316,512.5477957503491
re2,model_data4,ols_full_sample,inf_def,0.010908046939157933,0.04493311262414059,0.24276188098523843,0.8086149329476247,,127,0.4460442731278963,0.4034322941377345,484.10592488576316,512.5477957503491
re2,model_data4,ols_full_sample,investment,0.0858906095723606,0.033385640160102065,2.5726812234382512,0.011342037254611742,**,127,0.4460442731278963,0.4034322941377345,484.10592488576316,512.5477957503491
re2,model_data4,ols_full_sample,terms_trade_x_trade,-0.00018088306132062933,0.0007533115352486849,-0.24011720630418304,0.8106595926830005,,127,0.4460442731278963,0.4034322941377345,484.10592488576316,512.5477957503491
re2,model_data4,ols_full_sample,gov_exp_reduced,-0.1450103599206775,0.03298614049499715,-4.396099626831776,2.4399074831425566e-05,***,127,0.4460442731278963,0.4034322941377345,484.10592488576316,512.5477957503491
re2,model_data4,ols_full_sample,log_cc_total_plus2,-0.2008571793118955,0.35210636337574247,-0.570444616184216,0.5694700749266965,,127,0.4460442731278963,0.4034322941377345,484.10592488576316,512.5477957503491
re2,model_data4,ols_full_sample,terms_trade,-0.031639285811521964,0.05654810287047312,-0.5595110040029756,0.5768825572938304,,127,0.4460442731278963,0.4034322941377345,484.10592488576316,512.5477957503491
re2,model_data4,ols_full_sample,trade,0.024974313783681274,0.07433900692105071,0.3359516735299467,0.7375090273585487,,127,0.4460442731278963,0.4034322941377345,484.10592488576316,512.5477957503491
re3,model_data4,ols_full_sample,const,8.708881410091106,5.872080018561626,1.4830999207371764,0.14071385608820547,,127,0.445169491325461,0.4075538636187126,482.3063193502657,507.904003128393
re3,model_data4,ols_full_sample,fertility,0.15507639049123279,0.20946920563019916,0.7403302553455401,0.4605701505931985,,127,0.445169491325461,0.4075538636187126,482.3063193502657,507.904003128393
re3,model_data4,ols_full_sample,log_GDPpc2015,-0.4020056201340404,0.17945108110906804,-2.2401961450970953,0.026950393833234363,**,127,0.445169491325461,0.4075538636187126,482.3063193502657,507.904003128393
re3,model_data4,ols_full_sample,investment,0.0849619901050067,0.03274150130987058,2.594932630025527,0.010660829068231042,**,127,0.445169491325461,0.4075538636187126,482.3063193502657,507.904003128393
re3,model_data4,ols_full_sample,terms_trade_x_trade,-0.00018877770834692314,0.0007331638234668189,-0.2574836650481115,0.7972539021622239,,127,0.445169491325461,0.4075538636187126,482.3063193502657,507.904003128393
re3,model_data4,ols_full_sample,gov_exp_reduced,-0.14571511536586218,0.03251884496416287,-4.480943758194559,1.7303665686895672e-05,***,127,0.445169491325461,0.4075538636187126,482.3063193502657,507.904003128393
re3,model_data4,ols_full_sample,log_cc_total_plus2,-0.22703905364371912,0.33866694436667205,-0.670390356721398,0.5039189172240128,,127,0.445169491325461,0.4075538636187126,482.3063193502657,507.904003128393
