model,dataset,table_group,term,coefficient,robust_se_hc3,robust_t,p_value,stars,nobs,r_squared,adj_r_squared,aic,bic
inst1,model_data4_o,ols_institutional_variants,const,10.43153442019127,2.2288318484881393,4.680269813654712,7.949757960572385e-06,***,122,0.5054896038419574,0.47512493039365655,448.4987398583588,470.93090821622485
inst1,model_data4_o,ols_institutional_variants,log_GDPpc2015,-0.9804995804026861,0.20209476936032308,-4.851682126688361,3.914012595773536e-06,***,122,0.5054896038419574,0.47512493039365655,448.4987398583588,470.93090821622485
inst1,model_data4_o,ols_institutional_variants,investment,0.09308775960258013,0.032872222407364,2.831806089926147,0.005473584069243285,***,122,0.5054896038419574,0.47512493039365655,448.4987398583588,470.93090821622485
inst1,model_data4_o,ols_institutional_variants,terms_trade_x_trade,-0.001121982924562186,0.005209514478922496,-0.2153718794912055,0.829862237204273,,122,0.5054896038419574,0.47512493039365655,448.4987398583588,470.93090821622485
inst1,model_data4_o,ols_institutional_variants,gov_exp_reduced,-0.14371726979220678,0.04541880728215068,-3.164267808694457,0.001993679526226346,***,122,0.5054896038419574,0.47512493039365655,448.4987398583588,470.93090821622485
inst1,model_data4_o,ols_institutional_variants,rule_of_law,0.7922394533427466,0.30876085412277415,2.5658675404095246,0.011588886172983606,**,122,0.5054896038419574,0.47512493039365655,448.4987398583588,470.93090821622485
inst1,model_data4_o,ols_institutional_variants,terms_trade,0.19503885221953193,0.4013281079556098,0.4859835340541481,0.6279116781076989,,122,0.5054896038419574,0.47512493039365655,448.4987398583588,470.93090821622485
inst1,model_data4_o,ols_institutional_variants,trade,0.0074698146499807905,0.0052404489862486366,1.4254150111149235,0.15676956752362856,,122,0.5054896038419574,0.47512493039365655,448.4987398583588,470.93090821622485
inst2,model_data4_o,ols_institutional_variants,const,10.606134980368953,1.9879241088017865,5.335281630424896,4.903501066782212e-07,***,122,0.5174594440758329,0.4878297608173314,445.509349038481,467.941517396347
inst2,model_data4_o,ols_institutional_variants,log_GDPpc2015,-0.9862469785527561,0.17858546327642894,-5.522549038754424,2.1313539955746915e-07,***,122,0.5174594440758329,0.4878297608173314,445.509349038481,467.941517396347
inst2,model_data4_o,ols_institutional_variants,investment,0.09282591164023332,0.03263974722011314,2.8439531413721397,0.005282663240813715,***,122,0.5174594440758329,0.4878297608173314,445.509349038481,467.941517396347
inst2,model_data4_o,ols_institutional_variants,terms_trade_x_trade,-0.0014944970999381541,0.005003130418745656,-0.29871240100769597,0.7657033160867963,,122,0.5174594440758329,0.4878297608173314,445.509349038481,467.941517396347
inst2,model_data4_o,ols_institutional_variants,gov_exp_reduced,-0.16146193700724665,0.04320009390306502,-3.7375367139142033,0.0002921189284351001,***,122,0.5174594440758329,0.4878297608173314,445.509349038481,467.941517396347
inst2,model_data4_o,ols_institutional_variants,ctrl_of_corr,0.8350184310840738,0.23617888952219732,3.5355337336599444,0.000589279097039505,***,122,0.5174594440758329,0.4878297608173314,445.509349038481,467.941517396347
inst2,model_data4_o,ols_institutional_variants,terms_trade,0.2246440766182749,0.3907642283307537,0.5748839334088941,0.5665026258555087,,122,0.5174594440758329,0.4878297608173314,445.509349038481,467.941517396347
inst2,model_data4_o,ols_institutional_variants,trade,0.008335829423755025,0.005004034236809097,1.6658218208096238,0.09849455906323266,*,122,0.5174594440758329,0.4878297608173314,445.509349038481,467.941517396347
inst3,model_data4_o,ols_institutional_variants,const,12.214530005079139,2.3827343331297848,5.126266002569841,1.2199095054323212e-06,***,122,0.5247365350496288,0.495553690710571,443.65547880442364,466.08764716228967
inst3,model_data4_o,ols_institutional_variants,log_GDPpc2015,-1.1784626712189157,0.22853614273506906,-5.156570234866748,1.0702450739286584e-06,***,122,0.5247365350496288,0.495553690710571,443.65547880442364,466.08764716228967
inst3,model_data4_o,ols_institutional_variants,investment,0.08916582976203163,0.03164205567374853,2.8179531279950005,0.0056990060085500205,***,122,0.5247365350496288,0.495553690710571,443.65547880442364,466.08764716228967
inst3,model_data4_o,ols_institutional_variants,terms_trade_x_trade,-0.00079835278088631,0.0055194402687160585,-0.14464379393891408,0.8852475270206317,,122,0.5247365350496288,0.495553690710571,443.65547880442364,466.08764716228967
inst3,model_data4_o,ols_institutional_variants,gov_exp_reduced,-0.1448469304959057,0.04292489107601331,-3.3744274444262254,0.0010116050363343032,***,122,0.5247365350496288,0.495553690710571,443.65547880442364,466.08764716228967
inst3,model_data4_o,ols_institutional_variants,gov_eff,1.1400415029917998,0.33803719026978274,3.372532773929249,0.001017948877792621,***,122,0.5247365350496288,0.495553690710571,443.65547880442364,466.08764716228967
inst3,model_data4_o,ols_institutional_variants,terms_trade,0.18035745539693532,0.4182169835840305,0.4312533026547854,0.6670986033873197,,122,0.5247365350496288,0.495553690710571,443.65547880442364,466.08764716228967
inst3,model_data4_o,ols_institutional_variants,trade,0.006756988358396167,0.005392675255674339,1.2529937439281655,0.21277196766166148,,122,0.5247365350496288,0.495553690710571,443.65547880442364,466.08764716228967
inst4,model_data4_o,ols_institutional_variants,const,9.347204666473823,1.715333513443143,5.44920541295286,2.9591277920669963e-07,***,122,0.5086736205659967,0.4785044569165404,447.7106755445793,470.14284390244535
inst4,model_data4_o,ols_institutional_variants,log_GDPpc2015,-0.8285323674122507,0.1435219119079615,-5.772863226233889,6.838361367831609e-08,***,122,0.5086736205659967,0.4785044569165404,447.7106755445793,470.14284390244535
inst4,model_data4_o,ols_institutional_variants,investment,0.09704902986844322,0.030535348745028404,3.1782518902537245,0.0019074854439252123,***,122,0.5086736205659967,0.4785044569165404,447.7106755445793,470.14284390244535
inst4,model_data4_o,ols_institutional_variants,terms_trade_x_trade,-0.003352919786528611,0.00501706690796425,-0.6683027848813577,0.5052912237931572,,122,0.5086736205659967,0.4785044569165404,447.7106755445793,470.14284390244535
inst4,model_data4_o,ols_institutional_variants,gov_exp_reduced,-0.14841918666804854,0.04013144285456393,-3.6983267012332113,0.00033543850417545385,***,122,0.5086736205659967,0.4785044569165404,447.7106755445793,470.14284390244535
inst4,model_data4_o,ols_institutional_variants,pol_stab,0.7645682449165762,0.30152854362182113,2.5356413549872814,0.012578380022736613,**,122,0.5086736205659967,0.4785044569165404,447.7106755445793,470.14284390244535
inst4,model_data4_o,ols_institutional_variants,terms_trade,0.30087872114217273,0.38861334648456913,0.7742367159129978,0.44039357089004616,,122,0.5086736205659967,0.4785044569165404,447.7106755445793,470.14284390244535
inst4,model_data4_o,ols_institutional_variants,trade,0.005226826253738468,0.005132029790283307,1.0184715341354103,0.3106105049948441,,122,0.5086736205659967,0.4785044569165404,447.7106755445793,470.14284390244535
inst5,model_data4_o,ols_institutional_variants,const,9.183027889974355,2.1639160609831607,4.243707995679882,4.498966820395498e-05,***,122,0.4929498773735377,0.46181522072103565,451.55382548737344,473.9859938452395
inst5,model_data4_o,ols_institutional_variants,log_GDPpc2015,-0.8754404722008617,0.20637726278739818,-4.241942452268622,4.529628679436178e-05,***,122,0.4929498773735377,0.46181522072103565,451.55382548737344,473.9859938452395
inst5,model_data4_o,ols_institutional_variants,investment,0.10185761089084629,0.03194045148491342,3.1889846935619293,0.0018436970839070808,***,122,0.4929498773735377,0.46181522072103565,451.55382548737344,473.9859938452395
inst5,model_data4_o,ols_institutional_variants,terms_trade_x_trade,-0.0018222744337837039,0.0053408138620709405,-0.34119789246448357,0.7335826695950378,,122,0.4929498773735377,0.46181522072103565,451.55382548737344,473.9859938452395
inst5,model_data4_o,ols_institutional_variants,gov_exp_reduced,-0.12757261367825318,0.04677602805779286,-2.7273075328378518,0.007395771401609986,***,122,0.4929498773735377,0.46181522072103565,451.55382548737344,473.9859938452395
inst5,model_data4_o,ols_institutional_variants,reg_q,0.6268825632683416,0.37587908159895195,1.667777202715421,0.09810466936177069,*,122,0.4929498773735377,0.46181522072103565,451.55382548737344,473.9859938452395
inst5,model_data4_o,ols_institutional_variants,terms_trade,0.22711259662871358,0.4128297394137301,0.5501362303773025,0.5833022329560666,,122,0.4929498773735377,0.46181522072103565,451.55382548737344,473.9859938452395
inst5,model_data4_o,ols_institutional_variants,trade,0.006472077019822645,0.005371667338101908,1.2048543985431477,0.23075478994422904,,122,0.4929498773735377,0.46181522072103565,451.55382548737344,473.9859938452395
inst6,model_data4_o,ols_institutional_variants,const,6.932132503492353,1.7453394738893897,3.9717960930800986,0.00012531245978698643,***,122,0.4692155350089008,0.4366235064568158,457.1348588334869,479.5670271913529
inst6,model_data4_o,ols_institutional_variants,log_GDPpc2015,-0.623006690523735,0.15089455950271416,-4.128755155765102,6.974629051360984e-05,***,122,0.4692155350089008,0.4366235064568158,457.1348588334869,479.5670271913529
inst6,model_data4_o,ols_institutional_variants,investment,0.10170995382587512,0.03180565578293505,3.197857466609646,0.0017924687601590843,***,122,0.4692155350089008,0.4366235064568158,457.1348588334869,479.5670271913529
inst6,model_data4_o,ols_institutional_variants,terms_trade_x_trade,-0.0022559489171383043,0.005490986074101905,-0.4108458638746927,0.6819567958702853,,122,0.4692155350089008,0.4366235064568158,457.1348588334869,479.5670271913529
inst6,model_data4_o,ols_institutional_variants,gov_exp_reduced,-0.12381400134055005,0.04628717327403973,-2.6749095393559372,0.008574586391265335,***,122,0.4692155350089008,0.4366235064568158,457.1348588334869,479.5670271913529
inst6,model_data4_o,ols_institutional_variants,voice_and_acc,0.1109218756555316,0.2644819961544205,0.4193929162224288,0.6757182482449182,,122,0.4692155350089008,0.4366235064568158,457.1348588334869,479.5670271913529
inst6,model_data4_o,ols_institutional_variants,terms_trade,0.23986206918844916,0.4272464176713276,0.5614138802983959,0.5756174056834994,,122,0.4692155350089008,0.4366235064568158,457.1348588334869,479.5670271913529
